latitude,longitude
32.7940,35.0655
32.0805,34.7806
32.0801,34.8146
32.0815,34.7885
32.0765,34.8104
32.0757,34.7930
32.0745,34.7870
32.0794,34.8063
32.0856,34.7793
32.0812,34.7934
32.0883,34.7693
32.0808,34.8054
32.0880,34.7673
32.0863,34.7639
32.0917,34.7936
32.0842,34.7750
32.0803,34.7878
32.0767,34.7851
32.0799,34.8045
32.0792,34.7801
32.0869,34.7702
32.0836,34.7840
32.0902,34.7658
32.0879,34.7853
32.0755,34.7898
32.0800,34.8093
32.0846,34.7895
32.0771,34.7956
32.0893,34.7650
32.0857,34.7805
32.0788,34.8048
32.0860,34.7653
32.0823,34.7740
32.0841,34.7816
32.0848,34.7781
32.0772,34.7949
32.0824,34.7785
32.0858,34.7709
32.0846,34.7843
32.0853,34.7810
32.0811,34.8094
32.0780,34.8080
32.0821,34.7877
32.0787,34.7954
32.0909,34.7896
32.0823,34.7954
32.0829,34.7863
32.0830,34.7982
32.0900,34.7694
32.0899,34.7866
32.0897,34.7651
32.0903,34.7677
32.0888,34.7729
32.0827,34.8043
32.0849,34.7881
32.0799,34.7980
32.0911,34.7878
32.0802,34.7871
32.0809,34.7924
32.0792,34.7864
32.0784,34.7844
32.0844,34.8020
32.0807,34.8007
32.0837,34.7883
32.0852,34.7711
32.0823,34.8050
32.0783,34.7973
32.0830,34.7987
32.0855,34.7762
32.0886,34.7687
32.0825,34.7996
32.0810,34.7858
32.0832,34.7874
32.0864,34.7749
32.0867,34.7768
32.0798,34.7845
32.0808,34.8082
32.0837,34.7751
32.0893,34.7670
32.0857,34.8021
32.0793,34.7927
32.0874,34.7712
32.0865,34.7795
32.0887,34.7718
32.0894,34.7787
32.0903,34.7820
32.0869,34.8013
32.0800,34.8033
32.0906,34.7745
32.0825,34.7887
32.0845,34.7773
32.0813,34.7931
32.0897,34.7723
32.0880,34.7679
32.0796,34.7856
32.0837,34.7730
32.0901,34.7760
32.0819,34.7798
32.0856,34.7776
32.0822,34.7811
32.0887,34.7655
32.0895,34.7686
32.0846,34.7727
32.0838,34.7800
32.0876,34.7697
32.0841,34.7867
32.0805,34.7900
32.0877,34.7815
32.0865,34.7739
32.0852,34.7745
32.0810,34.7817
32.0883,34.7755
32.0849,34.7758
32.0882,34.7716
32.0887,34.7799
32.0839,34.7809
32.0899,34.7766
32.0886,34.7806
32.0893,34.7830
32.0826,34.7977
32.0873,34.7858
32.0881,34.7850
32.0867,34.7703
32.0892,34.7717
32.0868,34.7879
32.0894,34.7844
32.0889,34.7736
32.0891,34.7816
32.0837,34.7894
32.0890,34.7833
32.0898,34.7825
32.0869,34.7793
32.0902,34.7828
32.0875,34.7887
32.0882,34.7881
32.0888,34.7743
32.0874,34.7750
32.0897,34.7732
32.0899,34.7809
32.0896,34.7840
32.0889,34.7712
32.0893,34.7748
32.0851,34.7978
32.0860,34.7910
32.0853,34.7892
32.0865,34.7802
32.0897,34.7792
32.0862,34.7801
32.0890,34.7749
32.0898,34.7713
32.0881,34.7744
32.0853,34.7849
32.0880,34.7724
32.0895,34.7803
32.0897,34.7731
32.0883,34.7745
32.0850,34.7803
32.0855,34.7807
32.0857,34.7788
32.0859,34.7786
32.0861,34.7784
32.0863,34.7782
32.0865,34.7780
32.0867,34.7778
32.0869,34.7776
32.0871,34.7774
32.0873,34.7772
32.0875,34.7770
32.0877,34.7768
32.0879,34.7766
32.0881,34.7764
32.0883,34.7762
32.0885,34.7760
32.0887,34.7758
32.0889,34.7756
32.0891,34.7754
32.0893,34.7752
32.0895,34.7750
32.0897,34.7748
32.0899,34.7746
31.7683,35.2137
31.7667,35.2140
31.7690,35.2145
31.7678,35.2159
31.7683,35.2137
31.7648,35.2109
31.7672,35.2133
31.7678,35.2159
31.7683,35.2137
31.7655,35.2147
31.7690,35.2145
31.7678,35.2159
31.7637,35.2145
31.7686,35.2148
31.7690,35.2145
31.7683,35.2137
31.7688,35.2170
31.7673,35.2138
31.7688,35.2152
31.7690,35.2145
31.7683,35.2137
31.7676,35.2137
31.7681,35.2127
31.7690,35.2145
31.7683,35.2137
31.7686,35.2148
31.7668,35.2157
31.7690,35.2145
31.7683,35.2137
31.7663,35.2125
31.7680,35.2162
31.7690,35.2145
31.7683,35.2137
31.7669,35.2130
31.7686,35.2148
31.7690,35.2145
31.7683,35.2137
31.7672,35.2133
31.7687,35.2143
31.7690,35.2145
31.7683,35.2137
31.7676,35.2146
31.7682,35.2139
31.7690,35.2145
31.7683,35.2137
31.7675,35.2150
31.7681,35.2158
31.7690,35.2145
31.7683,35.2137
