latitude,longitude
40.7128,-74.0060
40.7300,-74.0155
40.7450,-74.0300
40.7580,-74.0455
40.7700,-74.0600
40.7820,-74.0755
40.7950,-74.0900
40.8100,-74.1055
40.8250,-74.1200
40.8400,-74.1355
40.8550,-74.1500
40.8700,-74.1655
40.8850,-74.1800
40.9000,-74.1955
40.9150,-74.2100
40.9300,-74.2255
40.9450,-74.2400
40.9600,-74.2555
40.9750,-74.2700
40.9900,-74.2855
41.0050,-74.3000
41.0200,-74.3155
41.0350,-74.3300
41.0500,-74.3455
41.0650,-74.3600
41.0800,-74.3755
41.0950,-74.3900
41.1100,-74.4055
41.1250,-74.4200
41.1400,-74.4355
41.1550,-74.4500
41.1700,-74.4655
41.1850,-74.4800
41.2000,-74.4955
41.2150,-74.5100
41.2300,-74.5255
41.2450,-74.5400
41.2600,-74.5555
41.2750,-74.5700
41.2900,-74.5855
41.3050,-74.6000
41.3200,-74.6155
41.3350,-74.6300
41.3500,-74.6455
41.3650,-74.6600
41.3800,-74.6755
42.3314,-83.0458
42.3450,-83.0600
42.3600,-83.0755
42.3750,-83.0900
42.3900,-83.1055
42.4050,-83.1200
42.4200,-83.1355
42.4350,-83.1500
42.4500,-83.1655
42.4650,-83.1800
42.4800,-83.1955
42.4950,-83.2100
42.5100,-83.2255
42.5250,-83.2400
42.5400,-83.2555
42.5550,-83.2700
42.5700,-83.2855
42.5850,-83.3000
42.6000,-83.3155
42.6150,-83.3300
42.6300,-83.3455
42.6450,-83.3600
42.6600,-83.3755
42.6750,-83.3900
42.6900,-83.4055
42.7050,-83.4200
42.7200,-83.4355
42.7350,-83.4500
42.7500,-83.4655
42.7650,-83.4800
42.7800,-83.4955
42.7950,-83.5100
42.8100,-83.5255
42.8250,-83.5400
42.8400,-83.5555
42.8550,-83.5700
42.8700,-83.5855
42.8850,-83.6000
42.9000,-83.6155
42.9150,-83.6300
42.9300,-83.6455
42.9450,-83.6600
42.9600,-83.6755
42.9750,-83.6900
42.9837,-76.7997
40.7128,-74.0060
42.6526,-73.7562
43.1610,-77.6109
43.0481,-76.1474
43.2140,-77.6209
42.2682,-73.7997
43.1009,-75.2327
43.0472,-76.1499
43.0176,-74.9885
42.9394,-74.1948
42.6526,-73.7562
42.8142,-73.9407
43.1610,-77.6109
42.8501,-73.9352
43.0048,-78.1845
43.0481,-76.1474
42.3394,-76.0425
43.2140,-77.6209
43.0731,-76.0922
42.6819,-73.8413
43.1610,-77.6109
43.0807,-76.1504
42.6650,-73.7477
43.0176,-74.9885
42.6932,-73.7739
42.2682,-73.7997
42.8335,-73.7712
42.4562,-75.0660
42.9275,-74.2490
42.4447,-76.5032
42.9394,-74.1948
42.9736,-74.0210
42.9394,-74.1948
42.8501,-73.9352
43.0848,-75.6117
42.9866,-77.6297
42.7230,-73.6932
43.0481,-76.1499
43.2372,-77.1411
43.1610,-77.6109
43.0412,-77.6065
43.0481,-76.1474
43.2394,-77.0612
43.0402,-76.1440
42.7691,-73.7551
42.0962,-76.7950
42.9394,-74.1948
43.0240,-74.9864
42.3394,-76.0425
42.3314,-83.0458
42.3556,-83.0563
42.3361,-83.1122
42.3973,-83.1076
42.3399,-83.0498
42.3854,-83.0844
42.3097,-83.1322
42.3400,-83.0537
42.3389,-83.1056
42.3679,-83.0637
42.3256,-83.0989
42.3392,-83.0403
42.4127,-83.2648
42.3736,-83.0670
42.3834,-83.0682
42.3662,-83.0810
42.3486,-83.0890
42.4102,-83.2058
42.3636,-83.0628
42.3461,-83.0528
42.3440,-83.0410
42.3304,-83.0516
42.3712,-83.0731
42.3851,-83.0852
42.3373,-83.0468
42.3430,-83.0816
42.3300,-83.0869
42.3595,-83.0762
42.3330,-83.0448
42.3657,-83.0898
42.3563,-83.1402
42.3650,-83.1026
42.3669,-83.1236
42.3505,-83.1198
42.3876,-83.0763
42.3366,-83.0652
42.3302,-83.0880
42.3376,-83.0498
42.3529,-83.0597
42.3439,-83.0220
42.3431,-83.0952
42.3397,-83.0717
42.3724,-83.0768
42.3442,-83.0437
42.3368,-83.0430
42.3285,-83.0433
42.3426,-83.1083
42.3404,-83.0924
